CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PH,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,86,2,230,67,120,38,17,27,24,428,8,26,13,5,0,1,14,5,1,1,,,,,,1025,0,18,1043,1424
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,87,2,206,84,101,37,31,18,15,393,19,23,17,5,0,1,12,1,0,0,,,,,,963,0,23,986,1427
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,88,2,180,85,87,39,32,22,6,445,13,11,12,1,0,1,11,1,0,1,,,,,,947,1,22,970,1329
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,89,2,75,51,81,16,13,16,5,243,16,20,10,1,0,5,4,0,0,0,,,,,,556,0,17,573,794
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,90,3,177,63,62,34,17,9,9,307,14,11,9,0,0,0,6,1,1,2,,,,,,722,0,24,746,1502
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,91,2,66,32,37,23,4,11,4,144,5,4,12,2,0,0,4,1,0,0,,,,,,349,1,16,366,1105
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,92,2,104,17,81,8,6,17,5,166,7,5,7,0,0,4,4,4,0,1,,,,,,436,1,6,443,1249
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,93,2,113,55,109,18,13,31,8,231,6,11,10,1,0,1,6,4,1,1,,,,,,619,1,17,637,903
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,94,2,125,51,125,18,15,18,8,331,13,20,13,0,0,1,9,2,1,0,,,,,,750,0,16,766,1056
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,95,2,96,37,51,9,4,10,4,170,9,12,2,3,1,1,1,0,1,0,,,,,,411,0,16,427,1183
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,96,2,182,75,130,34,22,19,8,411,13,12,14,5,0,1,8,5,1,3,,,,,,943,0,23,966,1422
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,97,3,94,54,190,14,19,28,3,292,13,8,8,5,0,2,14,2,1,1,,,,,,748,1,18,767,1843
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,98,1,125,42,44,22,2,15,4,230,7,10,10,1,0,1,2,0,0,1,,,,,,516,1,11,528,701
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,99,2,212,65,51,20,14,10,8,296,8,8,4,2,0,0,4,3,0,2,,,,,,707,1,20,728,946
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,100,2,279,75,59,35,18,14,16,327,16,15,15,2,0,0,8,0,0,0,,,,,,879,1,15,895,1187
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,101,2,212,84,102,31,23,25,11,374,14,15,6,1,0,0,7,4,2,3,,,,,,914,0,22,936,1226
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,102,2,196,56,105,25,22,30,10,346,17,11,15,2,0,3,10,0,0,0,,,,,,848,0,21,869,1239
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,103,2,151,59,161,23,21,40,14,436,16,16,15,10,0,1,15,1,2,1,,,,,,982,0,28,1010,1432
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,104,2,151,67,92,28,22,19,8,342,5,15,10,1,0,1,9,0,0,0,,,,,,770,1,19,790,1071
,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,2,AZCAPOTZALCO,105,4,186,83,72,42,14,18,9,236,18,11,6,4,0,2,3,5,0,0,,,,,,709,2,16,727,1024
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,106,2,270,75,96,28,16,24,6,432,17,21,12,1,1,3,3,2,1,1,,,,,,1009,0,16,1025,1450
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,107,2,255,91,142,36,9,38,14,336,16,24,8,1,0,1,13,0,0,1,,,,,,985,0,11,996,1353
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,108,2,150,108,84,32,13,18,5,328,8,15,16,2,0,1,8,4,0,2,,,,,,794,2,16,812,1101
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,109,3,185,88,165,29,36,53,18,566,23,14,25,8,2,2,10,2,0,4,,,,,,1230,3,27,1260,1782
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,110,2,152,59,47,34,9,13,14,253,13,16,6,1,0,0,8,0,0,1,,,,,,626,0,18,644,830
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,111,2,191,82,107,25,22,12,19,413,13,25,11,5,0,1,10,7,0,0,,,,,,943,0,25,968,1402
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,112,1,92,27,45,14,8,11,4,188,12,10,7,4,0,1,3,1,1,1,,,,,,429,0,5,434,630
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,113,1,104,48,34,18,4,10,11,209,10,11,8,2,0,0,5,1,0,0,,,,,,475,1,12,488,609
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,114,1,83,37,33,11,7,11,4,192,6,9,5,2,0,0,4,1,0,0,,,,,,405,0,13,418,541
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,115,1,104,53,42,17,10,8,8,207,8,12,5,5,0,0,4,1,0,0,,,,,,484,0,13,497,635
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,116,1,122,49,39,20,15,6,4,220,10,14,5,2,0,0,3,2,0,0,,,,,,511,0,12,523,687
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,117,1,81,63,47,0,12,9,6,192,8,8,3,1,0,0,3,1,0,0,,,,,,434,0,0,434,611
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,118,1,110,43,56,19,9,8,8,223,4,12,7,3,0,1,3,0,0,0,,,,,,506,0,14,520,658
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,119,2,173,62,102,18,15,31,8,466,22,16,10,4,0,4,10,4,0,1,,,,,,946,0,22,968,1270
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,120,2,110,48,58,15,11,13,8,230,10,14,4,2,0,2,9,2,0,1,,,,,,537,1,12,550,758
,9,CIUDAD DE MEXICO,5,AZCAPOTZALCO,2,AZCAPOTZALCO,121,2,144,59,92,19,16,14,7,233,7,8,2,1,0,0,5,1,0,0,,,,,,608,2,9,619,832
