Date,FIX,"Published in
DOF","In order to pay
obligations"
01/14/1994,3.1088,3.1061,3.1094
01/15/1994,N/E,N/E,3.1061
01/16/1994,N/E,N/E,3.1061
01/17/1994,3.1061,3.1088,3.1061
01/18/1994,3.1058,3.1061,3.1088
01/19/1994,3.1056,3.1058,3.1061
01/20/1994,3.1060,3.1056,3.1058
01/21/1994,3.1055,3.1060,3.1056
01/22/1994,N/E,N/E,3.1060
01/23/1994,N/E,N/E,3.1060
01/24/1994,3.1056,3.1055,3.1060
01/25/1994,3.1058,3.1056,3.1055
01/26/1994,3.1064,3.1058,3.1056
01/27/1994,3.1063,3.1064,3.1058
01/28/1994,3.1059,3.1063,3.1064
01/29/1994,N/E,N/E,3.1063
01/30/1994,N/E,N/E,3.1063
01/31/1994,3.1054,3.1059,3.1063
02/01/1994,3.1050,3.1054,3.1059
02/02/1994,3.1053,3.1050,3.1054
02/03/1994,3.1056,3.1053,3.1050
02/04/1994,3.1056,3.1056,3.1053
02/05/1994,N/E,N/E,3.1056
02/06/1994,N/E,N/E,3.1056
02/07/1994,3.1056,3.1056,3.1056
02/08/1994,3.1058,3.1056,3.1056
02/09/1994,3.1055,3.1058,3.1056
02/10/1994,3.1050,3.1055,3.1058
02/11/1994,3.1050,3.1050,3.1055
02/12/1994,N/E,N/E,3.1050
02/13/1994,N/E,N/E,3.1050
02/14/1994,3.1055,3.1050,3.1050
02/15/1994,3.1050,3.1055,3.1050
02/16/1994,3.1055,3.1050,3.1055
02/17/1994,3.1053,3.1055,3.1050
02/18/1994,3.1057,3.1053,3.1055
02/19/1994,N/E,N/E,3.1053
02/20/1994,N/E,N/E,3.1053
02/21/1994,3.1061,3.1057,3.1053
02/22/1994,3.1110,3.1061,3.1057
02/23/1994,3.1179,3.1110,3.1061
02/24/1994,3.2075,3.1179,3.1110
02/25/1994,3.2113,3.2075,3.1179
02/26/1994,N/E,N/E,3.2075
02/27/1994,N/E,N/E,3.2075
02/28/1994,3.1933,3.2113,3.2075
03/01/1994,3.1944,3.1933,3.2113
03/02/1994,3.2663,3.1944,3.1933
03/03/1994,3.2513,3.2663,3.1944
03/04/1994,3.2355,3.2513,3.2663
03/05/1994,N/E,N/E,3.2513
03/06/1994,N/E,N/E,3.2513
03/07/1994,3.2520,3.2355,3.2513
03/08/1994,3.2565,3.2520,3.2355
03/09/1994,3.3150,3.2565,3.2520
03/10/1994,3.2888,3.3150,3.2565
03/11/1994,3.3025,3.2888,3.3150
03/12/1994,N/E,N/E,3.2888
03/13/1994,N/E,N/E,3.2888
03/14/1994,3.2849,3.3025,3.2888
03/15/1994,3.3106,3.2849,3.3025
03/16/1994,3.3033,3.3106,3.2849
03/17/1994,3.3043,3.3033,3.3106
03/18/1994,3.3248,3.3043,3.3033
03/19/1994,N/E,N/E,3.3043
03/20/1994,N/E,N/E,3.3043
03/21/1994,N/E,3.3248,3.3043
03/22/1994,3.3326,N/E,3.3248
03/23/1994,3.3353,3.3326,N/E
03/24/1994,N/E,3.3353,3.3326
03/25/1994,3.3586,N/E,3.3353
03/26/1994,N/E,N/E,N/E
03/27/1994,N/E,N/E,N/E
03/28/1994,3.3598,3.3586,N/E
03/29/1994,3.3500,3.3598,3.3586
03/30/1994,3.3606,3.3500,3.3598
03/31/1994,N/E,3.3606,3.3500
04/01/1994,N/E,N/E,3.3606
04/02/1994,N/E,N/E,N/E
04/03/1994,N/E,N/E,N/E
04/04/1994,3.3626,N/E,N/E
04/05/1994,3.3630,3.3626,N/E
04/06/1994,3.3615,3.3630,3.3626
04/07/1994,3.3630,3.3615,3.3630
04/08/1994,3.3642,3.3630,3.3615
04/09/1994,N/E,N/E,3.3630
04/10/1994,N/E,N/E,3.3630
04/11/1994,3.3654,3.3642,3.3630
04/12/1994,3.3657,3.3654,3.3642
04/13/1994,3.3660,3.3657,3.3654
04/14/1994,3.3666,3.3660,3.3657
04/15/1994,3.3670,3.3666,3.3660
04/16/1994,N/E,N/E,3.3666
04/17/1994,N/E,N/E,3.3666
04/18/1994,3.3682,3.3670,3.3666
04/19/1994,3.3686,3.3682,3.3670
04/20/1994,3.3690,3.3686,3.3682
04/21/1994,3.3694,3.3690,3.3686
04/22/1994,3.3679,3.3694,3.3690
04/23/1994,N/E,N/E,3.3694
04/24/1994,N/E,N/E,3.3694
04/25/1994,3.3073,3.3679,3.3694
04/26/1994,3.2980,3.3073,3.3679
04/27/1994,3.2673,3.2980,3.3073
04/28/1994,3.2763,3.2673,3.2980
04/29/1994,3.2748,3.2763,3.2673
04/30/1994,N/E,N/E,3.2763
05/01/1994,N/E,N/E,3.2763
05/02/1994,3.2748,3.2748,3.2763
05/03/1994,3.3145,3.2748,3.2748
05/04/1994,3.3053,3.3145,3.2748
05/05/1994,N/E,3.3053,3.3145
05/06/1994,3.3223,N/E,3.3053
05/07/1994,N/E,N/E,N/E
05/08/1994,N/E,N/E,N/E
05/09/1994,3.3396,3.3223,N/E
05/10/1994,3.3163,3.3396,3.3223
05/11/1994,3.3173,3.3163,3.3396
05/12/1994,3.3325,3.3173,3.3163
05/13/1994,3.3298,3.3325,3.3173
05/14/1994,N/E,N/E,3.3325
05/15/1994,N/E,N/E,3.3325
05/16/1994,3.3319,3.3298,3.3325
05/17/1994,3.3290,3.3319,3.3298
05/18/1994,3.3309,3.3290,3.3319
05/19/1994,3.3220,3.3309,3.3290
05/20/1994,3.3020,3.3220,3.3309
05/21/1994,N/E,N/E,3.3220
05/22/1994,N/E,N/E,3.3220
05/23/1994,3.3025,3.3020,3.3220
05/24/1994,3.2919,3.3025,3.3020
05/25/1994,3.3093,3.2919,3.3025
05/26/1994,3.3148,3.3093,3.2919
05/27/1994,3.3145,3.3148,3.3093
05/28/1994,N/E,N/E,3.3148
05/29/1994,N/E,N/E,3.3148
05/30/1994,3.3276,3.3145,3.3148
05/31/1994,3.3214,3.3276,3.3145
06/01/1994,3.3269,3.3214,3.3276
06/02/1994,3.3253,3.3269,3.3214
06/03/1994,3.3243,3.3253,3.3269
06/04/1994,N/E,N/E,3.3253
06/05/1994,N/E,N/E,3.3253
06/06/1994,3.3350,3.3243,3.3253
06/07/1994,3.3650,3.3350,3.3243
06/08/1994,3.3535,3.3650,3.3350
06/09/1994,3.3588,3.3535,3.3650
06/10/1994,3.3613,3.3588,3.3535
06/11/1994,N/E,N/E,3.3588
06/12/1994,N/E,N/E,3.3588
06/13/1994,3.3784,3.3613,3.3588
06/14/1994,3.3734,3.3784,3.3613
06/15/1994,3.3673,3.3734,3.3784
06/16/1994,3.3675,3.3673,3.3734
06/17/1994,3.3675,3.3675,3.3673
06/18/1994,N/E,N/E,3.3675
06/19/1994,N/E,N/E,3.3675
06/20/1994,3.3703,3.3675,3.3675
06/21/1994,3.3743,3.3703,3.3675
06/22/1994,3.3790,3.3743,3.3703
